Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Tecnod8 Innovations,Democratising Industrial Automation by building India's first dedicated Large Language model for Industrial Engineering,Democratising Industrial Automation by building India's first dedicated Large Language model for Industrial Engineering | Type: Other company,,2024,"Himachal Pradesh, India",,5,https://TI.com,Other,,,,https://indiaai.gov.in/startup/tecnod8-innovations
"At AiProff.ai , we are constantly pushing boundaries to build innovative solutions for Autism Spectrum Disorder...","At AiProff.ai , we are constantly pushing boundaries to build innovative solutions for Autism Spectrum Disorder...","At AiProff.ai , we are constantly pushing boundaries to build innovative solutions for Autism Spectrum Disorder... | Type: Other company",,2023,"Haryana, India",,4,,Other,,,,https://indiaai.gov.in/startup/aiproff-software-consulting-opc-private-limited
CogniSpark AI,,"CogniSpark AI is a  company founded in 2017, based in Maharastra, India",of Paradiso,2017,"Maharastra, India",,100,https://CA.com,Other,,,,https://indiaai.gov.in/startup/cognispark-ai
RR.ai by RightRemote.Team,,"RR.ai by RightRemote.Team is a  company founded in 2023, based in Kerala, India",,2023,"Kerala, India",,10,https://RbR.com,Other,,,,https://indiaai.gov.in/startup/rr-ai-by-rightremote-team
Coretus Technologies Pvt. Ltd.,"Welcome to Coretus Technologies, the powerhouse of innovation","Welcome to Coretus Technologies, the powerhouse of innovation | Technologies: OUR TECHNOLOGY ARSENAL | Type: Technology company",,2013,"Gujarat, India",,27,https://CTPL.ai,Technology,OUR TECHNOLOGY ARSENAL,,,https://indiaai.gov.in/startup/coretus-technologies-pvt-ltd
Assessli,,"Assessli is a  company founded in 2022, based in West Bengal, India",,2022,"West Bengal, India",,15,https://assessli.com,Other,,,,https://indiaai.gov.in/startup/assessli
Tensor Matics Inc,,"Tensor Matics Inc is a  company founded in 2017, based in Chandigarh, India",,2017,"Chandigarh, India",,10,,Other,,,,https://indiaai.gov.in/startup/tensor-matics-inc
Meetanshi Technologies LLP,"Meetanshi leverages cutting-edge AI technology to revolutionize Digital Marketing, Development, and Graphics Designing.","Meetanshi leverages cutting-edge AI technology to revolutionize Digital Marketing, Development, and Graphics Designing. | Technologies: Meetanshi leverages cutting-edge AI technology to revolutionize Digital Marketing, Development, and Graphics Designing. Our innovative approach combines the power of artificial intelligence with creative expertise | Type: Logistics company",,2017,"Gujarat, India",,35,https://MTL.com,Logistics,"Meetanshi leverages cutting-edge AI technology to revolutionize Digital Marketing, Development, and Graphics Designing. Our innovative approach combines the power of artificial intelligence with creative expertise, resulting in faster project delivery and superior outcomes. Discover how Meetanshi is shaping the future of these industries through AI-driven solutions.",,,https://indiaai.gov.in/startup/meetanshi-technologies-llp
Molecule AI Private Limited,,Technologies: Pharmacy and Automobile industry are... | Type: Healthcare company,,2023,"Delhi, India",,7,https://MAPL.ai,Healthcare,Pharmacy and Automobile industry are...,,,https://indiaai.gov.in/startup/molecule-ai-private-limited
Inference Labs,Inference Labs is a cutting-edge provider of comprehensive AI and data analytics and predictive modeling solutions,"Inference Labs is a cutting-edge provider of comprehensive AI and data analytics and predictive modeling solutions | Technologies: At Inference Labs, our commitment is to provide innovative and tailored solutions that align with the unique challenges and goals of each sector we serve. By combining cutting-edge technology with domain expertise, we empower our clients to unlock the full potential of their data | Type: CleanTech company",Sumit Arora,2018,"Karnataka, India",,50,https://inferencelabs.com,CleanTech,"At Inference Labs, our commitment is to provide innovative and tailored solutions that align with the unique challenges and goals of each sector we serve. By combining cutting-edge technology with domain expertise, we empower our clients to unlock the full potential of their data, stay ahead of the competition, and drive sustainable growth in their respective industries.",,,https://indiaai.gov.in/startup/inference-labs
PanScience Innovations,,"Technologies: At PSI, we are dedicated to nurturing ideas and transforming them into products that not only address current market needs but also set the stage for future trends. Our commitment to innovation and technology drives us to empower entrepreneurs and innovators to bring their visions to life. By fostering a culture of creativity and forward momentum, we aim to shape the future of industries through our impactful AI startups. | Type: Technology company",Anshul Pandey is the,2022,"New Delhi, India",,145,https://PI.io,Technology,"At PSI, we are dedicated to nurturing ideas and transforming them into products that not only address current market needs but also set the stage for future trends. Our commitment to innovation and technology drives us to empower entrepreneurs and innovators to bring their visions to life. By fostering a culture of creativity and forward momentum, we aim to shape the future of industries through our impactful AI startups.",,,https://indiaai.gov.in/startup/panscience-innovations
CHOICE,,Focus areas: Business Function | Type: Other company,is Alex Ilyash,2023,"Delhi, India",,15,https://choice.ai,Other,,Business Function,,https://indiaai.gov.in/startup/choice
SigTuple,,Focus areas: Business Function | Type: Other company,,2015,"Karnataka, India",,100,https://sigtuple.com,Other,,Business Function,,https://indiaai.gov.in/startup/sigtuple
Tap Health,,Focus areas: Business Function | Type: Other company,Currently serving as Co,2023,"Haryana, India",,16,https://TH.ai,Other,,Business Function,,https://indiaai.gov.in/startup/tap-health
Worxogo,,Focus areas: Business Function | Type: Other company,Anant Sood,2014,"Karnataka, India",,70,https://worxogo.com,Other,,Business Function,,https://indiaai.gov.in/startup/worxogo
EncipherHealth Pvt. Ltd.,"At EncipherHealth, we're pioneering the integration of artificial intelligence into the healthcare industry","At EncipherHealth, we're pioneering the integration of artificial intelligence into the healthcare industry | Focus areas: Business Function | Type: Healthcare company",,2023,"Tamilnadu, India",,15,https://EPL.com,Healthcare,,Business Function,,https://indiaai.gov.in/startup/encipherhealth-pvt-ltd
Parchaa,Parchaa is an integrated healthcare platform driven by AI.,Parchaa is an integrated healthcare platform driven by AI. | Focus areas: Business Function | Type: SaaS company,,2023,"Delhi, India",,35,https://parchaa.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/parchaa
LawCrats,,Focus areas: Business Function | Type: Other company,Gajendra Singh,2020,"Uttar Pradesh, India",,5,https://lawcrats.com,Other,,Business Function,,https://indiaai.gov.in/startup/lawcrats
Insituate,Insituate is a pioneering deep-tech company revolutionizing the way businesses harness the potential of Generative AI...,Insituate is a pioneering deep-tech company revolutionizing the way businesses harness the potential of Generative AI... | Focus areas: Business Function | Type: Technology company,,2023,"New Delhi, India",,6,https://insituate.ai,Technology,,Business Function,,https://indiaai.gov.in/startup/insituate
TaxbotGPT,Innovative TaxbotGPT integrates cutting-edge LLM technology to revolutionize the way you navigate the complexities of...,Innovative TaxbotGPT integrates cutting-edge LLM technology to revolutionize the way you navigate the complexities of... | Focus areas: Business Function | Type: Technology company,,2020,"Delhi, India",,10,https://taxbotgpt.ai,Technology,,Business Function,,https://indiaai.gov.in/startup/taxbotgpt
PredCo,PredCo is an innovative Industrial AI platform focused on transforming the way industries handle predictive maintenance...,PredCo is an innovative Industrial AI platform focused on transforming the way industries handle predictive maintenance... | Focus areas: Business Function | Type: SaaS company,,2023,"Delhi, India",,16,https://predco.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/predco
Sivi,,Focus areas: Business Function | Type: Other company,Ram Ganesan is,2019,"Karnataka, India",,12,https://sivi.com,Other,,Business Function,,https://indiaai.gov.in/startup/sivi
TechConative,TechConative is a premier technology solutions provider dedicated to driving innovation and excellence in the digital...,TechConative is a premier technology solutions provider dedicated to driving innovation and excellence in the digital... | Focus areas: Business Function | Type: Technology company,Vivek Dhaylan is the,2022,"TamilNadu, India",,22,https://techconative.com,Technology,,Business Function,,https://indiaai.gov.in/startup/techconative
DeepTek,,Focus areas: Business Function | Type: Other company,,2017,"Maharashtra, India",,200,https://deeptek.ai,Other,,Business Function,,https://indiaai.gov.in/startup/deeptek
"AIShield, a Bosch startup recognized by Gartner, stands at the forefront of cybersecurity for AI systems.",,Focus areas: Business Function | Type: Cybersecurity company,,2022,"Karnataka, India",,25,,Cybersecurity,,Business Function,,https://indiaai.gov.in/startup/aishield-a-bosch-startup
MicroGrid Technologies,,Focus areas: Business Function | Type: Technology company,,2020,"Andhra Pradesh, India",,37,https://microgrid-technologies.com,Technology,,Business Function,,https://indiaai.gov.in/startup/microgrid-technologies
DocMode AIDE,"DocMode AIDE is committed to democratizing access to advanced AI-based healthcare solutions, offering them free of...","DocMode AIDE is committed to democratizing access to advanced AI-based healthcare solutions, offering them free of... | Focus areas: Business Function | Type: Healthcare company",,2016,"Maharashtra, India",,17,https://DA.io,Healthcare,,Business Function,,https://indiaai.gov.in/startup/docmode-aide
Bizmorphic Research Private Limited,Bizmorphic Research Pvt.Ltd is a deep tech research company which is creating world's first AI powered Scientific...,Bizmorphic Research Pvt.Ltd is a deep tech research company which is creating world's first AI powered Scientific... | Focus areas: Business Function | Type: Technology company,,2022,"Maharashtra, India",,10,https://BRPL.com,Technology,,Business Function,,https://indiaai.gov.in/startup/bizmorphic-research-private-limited
Aisera,,Focus areas: Business Function | Type: Other company,Muddu Sudhakar is,2017,"Karnataka, India",,150,https://aisera.com,Other,,Business Function,,https://indiaai.gov.in/startup/aisera
Digital Hercules Innovation,"Digital Hercules Innovations is a Saas company that made an AI-powered content Generation App, CreatAiGenie","Digital Hercules Innovations is a Saas company that made an AI-powered content Generation App, CreatAiGenie | Focus areas: Business Function | Type: SaaS company",am the,2023,"Uttar Pradesh, India",,11,https://DHI.in,SaaS,,Business Function,,https://indiaai.gov.in/startup/digital-hercules-innovation
Shorthills AI,Shorthills AI is an end-to-end Generative AI and Data Engineering Solution Provider.,Shorthills AI is an end-to-end Generative AI and Data Engineering Solution Provider. | Focus areas: Business Function | Type: Other company,Who are the,2018,"Gurugram, India",,250,https://SA.ai,Other,,Business Function,,https://indiaai.gov.in/startup/shorthills-ai
Razberi,,Focus areas: Business Function | Type: Other company,Tom Galvin is the,2011,,,17,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/razberi
React Labs,"Up⤴️ is at the forefront of transforming modern Indian households. As India’s first D2C smart home upliance brand, our...","Up⤴️ is at the forefront of transforming modern Indian households. As India’s first D2C smart home upliance brand, our... | Focus areas: Business Function | Type: Other company",,2021,"Maharashtra, India",,50,https://react-labs.com,Other,,Business Function,,https://indiaai.gov.in/startup/react-labs
Clodura,"An AI-powered lead generation platform, to help you generate highly targeted Sales Qualified Leads.","An AI-powered lead generation platform, to help you generate highly targeted Sales Qualified Leads. | Focus areas: Business Function | Type: SaaS company",,2015,"Maharashtra, India",,70,https://tracxn.com/d/companies/clodura/__jGdrlV05mU2kiINP_qzB9Jx1NFES50iejKoAE2ZmdPE,SaaS,,Business Function,,https://indiaai.gov.in/startup/clodura
ClanConnect.ai,,Focus areas: Business Function | Type: Other company,,2020,"Delhi, India",,20,https://C.ai,Other,,Business Function,,https://indiaai.gov.in/startup/clanconnect-ai
City Surveillance is a start-up providing surveillance as a service.,,Focus areas: Business Function | Type: Other company,,2016,"Tamil Nadu, India",,5,https://www.adda247.com/exams/railway/rrb-alp-cbat-exam-official-mock-test/,Other,,Business Function,,https://indiaai.gov.in/startup/city-surveillance-services-private-limited
Clairco,,Focus areas: Business Function | Type: Other company,of Clairco,2018,"Karnataka, India",,20,https://clairco.com,Other,,Business Function,,https://indiaai.gov.in/startup/clairco
Ciphercode,"Ciphercode is specialized in Enterprise Digital Authentication solutions, serving brands thru SaaS & Licensed platforms.","Ciphercode is specialized in Enterprise Digital Authentication solutions, serving brands thru SaaS & Licensed platforms. | Focus areas: Business Function | Type: SaaS company",Bhaskar Busanagaraja,2018,"Karnataka, India",,15,https://ciphercode.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/ciphercode
Cialfo,Leveraging technology to connect students to higher education institutions around the world,Leveraging technology to connect students to higher education institutions around the world | Focus areas: Business Function | Type: Technology company,and Co,2017,"Uttar Pradesh, India",,250,https://cialfo.ai,Technology,,Business Function,,https://indiaai.gov.in/startup/cialfo
Cerebras Systems,A computer systems company dedicated to accelerating deep learning.,A computer systems company dedicated to accelerating deep learning. | Focus areas: Business Function | Type: AI/ML company,person has recommended Andrew,2015,"Karnataka, India",,300,https://CS.tech,AI/ML,,Business Function,,https://indiaai.gov.in/startup/cerebras-systems
Cere Labs,Cere Labs is a deeptech startup that has developed an AI-platform aimed to process unstructured data for banks and...,Cere Labs is a deeptech startup that has developed an AI-platform aimed to process unstructured data for banks and... | Focus areas: Business Function | Type: SaaS company,,2015,"Maharashtra, India",,50,https://cerelabs.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/cere-labs
Celusion Technologies,Celusion Technologies builds technology that creates new value in customer experiences and core operations for the...,Celusion Technologies builds technology that creates new value in customer experiences and core operations for the... | Focus areas: Business Function | Type: Technology company,,2004,"Maharashtra, India",,250,https://www.indiamart.com/celusiontechnologies/aboutus.html,Technology,,Business Function,,https://indiaai.gov.in/startup/celusion-technologies
Capital Numbers,A leading global provider of web applications and mobile app development and digital platform engineering services.,A leading global provider of web applications and mobile app development and digital platform engineering services. | Focus areas: Business Function | Type: SaaS company,Mukul Gupta in India,2012,"West Bengal, India",,600,https://capitalnumbers.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/capital-numbers
CamfyVision Technologies Pvt Ltd.,,Focus areas: Business Function | Type: Technology company,,2017,"Karnataka, India",,50,https://CTPL.ai,Technology,,Business Function,,https://indiaai.gov.in/startup/camfyvision-technologies-pvt-ltd
ReadyAssist,"ReadyAssist is one of the leading 24/7 Roadside Assistance, Emergency Support & on the spot repair company for Bikes,...","ReadyAssist is one of the leading 24/7 Roadside Assistance, Emergency Support & on the spot repair company for Bikes,... | Focus areas: Business Function | Type: Other company",View Vimal Singh,2016,,,200,https://readyassist.in,Other,,Business Function,,https://indiaai.gov.in/startup/readyassist
ByGrad,An online education company that provides higher education professional certification programs.,An online education company that provides higher education professional certification programs. | Focus areas: Business Function | Type: EdTech company,,2016,"Karnataka, India",,250,https://bygrad.com,EdTech,,Business Function,,https://indiaai.gov.in/startup/bygrad
Builder.ai,An AI-powered platform designed to help build and operate software projects,An AI-powered platform designed to help build and operate software projects | Focus areas: Business Function | Type: SaaS company,Sachin Dev Duggal in,2012,"Haryana, India",,500,https://B.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/builder-ai
Brillio,,Focus areas: Business Function | Type: Other company,Raj Mamodia is the,2014,"Karnataka, India",,1000,https://brillio.com,Other,,Business Function,,https://indiaai.gov.in/startup/brillio
Brightcove,Streaming technology company in the world.,Streaming technology company in the world. | Focus areas: Business Function | Type: Media company,,2004,"Maharashtra, India",,400,https://brightcove.com,Media,,Business Function,,https://indiaai.gov.in/startup/brightcove
BrightMoney,Bright is a mission-driven consumer fintech company dedicated to helping everyone delete debt and build wealth.,Bright is a mission-driven consumer fintech company dedicated to helping everyone delete debt and build wealth. | Focus areas: Business Function | Type: Fintech company,,2019,"Karnataka, India",,150,https://brightmoney.in,Fintech,,Business Function,,https://indiaai.gov.in/startup/brightmoney
Recogni,,Focus areas: Business Function | Type: Other company,and VP of AI,2017,,,0,https://recogni.com,Other,,Business Function,,https://indiaai.gov.in/startup/recogni
Recotap,Recotap is an Account-based Marketing (ABM) & Ad platform that helps B2B Marketing & Sales teams work together to...,Recotap is an Account-based Marketing (ABM) & Ad platform that helps B2B Marketing & Sales teams work together to... | Focus areas: Business Function | Type: SaaS company,is Arun Gopalaswami,2018,,,50,https://recotap.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/recotap
Recursion,Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across...,Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across... | Focus areas: Business Function | Type: Healthcare company,Our Executive Leadership Team,2013,,,500,https://recursion.com,Healthcare,,Business Function,,https://indiaai.gov.in/startup/recursion
Bridcodes Global,"Bridcodes Global is a leading global medley of technology, design, innovation, marketing, and business consultation.","Bridcodes Global is a leading global medley of technology, design, innovation, marketing, and business consultation. | Focus areas: Business Function | Type: Technology company",,2008,"Karnataka, India",,50,https://bridcodes.net/,Technology,,Business Function,,https://indiaai.gov.in/startup/bridcodes-global
Borgfy,,Focus areas: Business Function | Type: Other company,,2020,"Delhi, India",,50,https://borgfy.com,Other,,Business Function,,https://indiaai.gov.in/startup/borgfy
Bolo Indya,,Focus areas: Business Function | Type: Other company,Varun Saxena is the,2019,"Haryana, India",,0,https://BI.com,Other,,Business Function,,https://indiaai.gov.in/startup/bolo-indya
Bluesemi,,"Technologies: BlueSemi is a revolution in connected customer-centric Health Tech. A company on a mission to bring a positive transformation into people’s lives by making holistic wellness an integral part of their life with their one-of-a-kind innovation. They leverage the fourth wave of technology including Artificial Intelligence and the Internet of Things to bring their vision into reality. Based out of India, BlueSemi is determined at blending together health, wellness | Type: Healthcare company",,2017,"Telangana, India",,8,https://B.io,Healthcare,"BlueSemi is a revolution in connected customer-centric Health Tech. A company on a mission to bring a positive transformation into people’s lives by making holistic wellness an integral part of their life with their one-of-a-kind innovation. They leverage the fourth wave of technology including Artificial Intelligence and the Internet of Things to bring their vision into reality. Based out of India, BlueSemi is determined at blending together health, wellness, & cutting-edge technology to create a virtual world where people look up to explore, analyze, and optimize their lifestyle through real-time interactions, and with utmost comfort that makes self-care easy, interesting, and fun.",,,https://indiaai.gov.in/startup/bluesemi
Bizom,,Focus areas: Business Function | Type: Other company,,2008,"Karnataka, India",,400,https://bizom.com,Other,,Business Function,,https://indiaai.gov.in/startup/bizom
BitVivid Solutions,One stop solution for AI and IoT related endeavors,One stop solution for AI and IoT related endeavors | Focus areas: Business Function | Type: IoT company,Manali Sharma,2019,"Uttar Pradesh, India",,50,https://bitvividsolutions.com/solutions/video-management-system/,IoT,,Business Function,,https://indiaai.gov.in/startup/bitvivid-solutions
RenewBuy.com,,Focus areas: Business Function | Type: Other company,,2014,"Haryana, India",,53,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/renewbuy-com
bitsCrunch,,Focus areas: Business Function | Type: Other company,of BitsCrunch,2020,"Karnataka, India",,50,https://bitscrunch.ai,Other,,Business Function,,https://indiaai.gov.in/startup/bitscrunch
Renfed,Renfed is a platform that connects smart farmers with the Agri value chain to revolutionize the Agricultural landscape.,Renfed is a platform that connects smart farmers with the Agri value chain to revolutionize the Agricultural landscape. | Focus areas: Business Function | Type: AgriTech company,,2021,"Karnataka, India",,20,https://R.ai,AgriTech,,Business Function,,https://indiaai.gov.in/startup/renfed
Rephrase.ai,,Focus areas: Business Function | Type: Other company,Ashray Malhotra is the,2023,,,50,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/rephrase-ai
BIK.ai,Intelligent e-commerce marketing platform,Intelligent e-commerce marketing platform | Focus areas: Business Function | Type: SaaS company,Sonakshi Nathani,2019,"Karnataka, India",,250,https://B.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/bik-ai
Big Bang Boom Solutions,,Focus areas: Business Function | Type: Other company,,2018,"Tamil Nadu, India",,50,https://BBBS.com,Other,,Business Function,,https://indiaai.gov.in/startup/big-bang-boom-solutions
BharatRohan,,Focus areas: Business Function | Type: Other company,,2016,"Telangana, India",,50,https://bharatrohan.in,Other,,Business Function,,https://indiaai.gov.in/startup/bharatrohan
Bewgle,Bewgle provides AI-based customer review analytics,Bewgle provides AI-based customer review analytics | Focus areas: Business Function | Type: Other company,,2017,"Karnataka, India",,50,https://bewgle.com,Other,,Business Function,,https://indiaai.gov.in/startup/bewgle
Betterhalf.ai,,Focus areas: Business Function | Type: Other company,Pawan Gupta,2016,"Karnataka, India",,50,https://B.io,Other,,Business Function,,https://indiaai.gov.in/startup/betterhalf-ai
Beatoven.ai,,Focus areas: Business Function | Type: Other company,,2021,"Karnataka, India",,10,https://B.io,Other,,Business Function,,https://indiaai.gov.in/startup/beatoven-ai
BankBuddy,,Focus areas: Business Function | Type: Other company,Bhagat Aditya,2017,"Karnataka, India",,50,https://bankbuddy.ai,Other,,Business Function,,https://indiaai.gov.in/startup/bankbuddy
BangDB,Pioneer in AI-based converged NoSQL database technology,Pioneer in AI-based converged NoSQL database technology | Focus areas: Business Function | Type: Technology company,,2015,"Karnataka, India",,50,https://bangdb.com,Technology,,Business Function,,https://indiaai.gov.in/startup/bangdb
Ripik.AI,,Focus areas: Business Function | Type: Other company,,2021,,,50,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/ripik-ai
rises.io,rises.io is a high-tech startup with innovative industry solutions for healthcare & other verticals.,rises.io is a high-tech startup with innovative industry solutions for healthcare & other verticals. | Focus areas: Business Function | Type: Healthcare company,io is,2017,,,20,https://r.ai,Healthcare,,Business Function,,https://indiaai.gov.in/startup/rises-io
Risalto,,Focus areas: Business Function | Type: Other company,,2016,,,0,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/risalto
Axestrack,"Pioneers of ""Digital Productivity and Logistics Management Platforms"" in India.","Pioneers of ""Digital Productivity and Logistics Management Platforms"" in India. | Focus areas: Business Function | Type: SaaS company",Rahul Yadav is the,2014,"Rajasthan, India",,250,https://axestrack.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/axestrack
AudiVision,Empowering the blind and low-vision community to gain self-reliance in daily routine tasks and pandemic safety.,Empowering the blind and low-vision community to gain self-reliance in daily routine tasks and pandemic safety. | Focus areas: Business Function | Type: Other company,,2021,"Maharashtra, India",,10,https://audivision.in,Other,,Business Function,,https://indiaai.gov.in/startup/audivision
AtlanAI Services Pvt Ltd,,Focus areas: Business Function | Type: Other company,,2019,"Uttar Pradesh, India",,50,https://ASPL.in,Other,,Business Function,,https://indiaai.gov.in/startup/atlanai-services-pvt-ltd
AspectO Technologies,,Focus areas: Business Function | Type: Technology company,,2019,"Telangana, India",,10,https://www.britannica.com/place/North-Korea,Technology,,Business Function,,https://indiaai.gov.in/startup/aspecto-technologies
Askadmissions.ai,An AI-powered chatbot and admissions management system and robotic process automations for education institutions.,An AI-powered chatbot and admissions management system and robotic process automations for education institutions. | Focus areas: Business Function | Type: Other company,,2023,"Karnataka, India",,10,https://A.io,Other,,Business Function,,https://indiaai.gov.in/startup/askadmissions-ai
Asanify,"An HR SAAS platform which automates the human resources department, payroll and onboarding activities for startups.","An HR SAAS platform which automates the human resources department, payroll and onboarding activities for startups. | Focus areas: Business Function | Type: SaaS company",Priyom Sarkar is the,2019,"West Bengal, India",,10,https://asanify.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/asanify
Arrelic,,Focus areas: Business Function | Type: Other company,,2016,"Orissa, India",,50,https://A.io,Other,,Business Function,,https://indiaai.gov.in/startup/arrelic
Arogyam Medisoft,An IoT based digital solutions company focused in the healthcare and agriculture industry.,An IoT based digital solutions company focused in the healthcare and agriculture industry. | Focus areas: Business Function | Type: AgriTech company,,2016,"Uttar Pradesh, India",,10,https://arogyammedisoft.com,AgriTech,,Business Function,,https://indiaai.gov.in/startup/arogyam-medisoft
Aprecomm,,Focus areas: Business Function | Type: Other company,Fuelled By Challenges,2016,"Karnataka, India",,50,https://aprecomm.ai,Other,,Business Function,,https://indiaai.gov.in/startup/aprecomm
Apptomate,Apptomate is a company that provides global IT software solutions,Apptomate is a company that provides global IT software solutions | Focus areas: Business Function | Type: Technology company,,2014,"Tamil Nadu, India",,200,https://A.io,Technology,,Business Function,,https://indiaai.gov.in/startup/apptomate
RoboVR,,Focus areas: Business Function | Type: Other company,Womennovator Supriya Rathi Bagri,2016,,,20,https://R.ai,Other,,Business Function,,https://indiaai.gov.in/startup/robovr
